timestamp,kwh,building
2025-11-06 10:00:00,0.815,Library
2025-11-06 11:00:00,3.062,Hostel
2025-11-06 11:00:00,1.015,Library
2025-11-06 12:00:00,3.059,Hostel
2025-11-06 12:00:00,1.871,Library
2025-11-06 13:00:00,1.666,Library
2025-11-06 13:00:00,2.07,Hostel
2025-11-06 14:00:00,3.433,Hostel
2025-11-06 14:00:00,2.289,Library
2025-11-06 15:00:00,0.844,Library
2025-11-06 15:00:00,3.996,Hostel
2025-11-06 16:00:00,2.316,Library
2025-11-06 16:00:00,2.375,Hostel
2025-11-06 17:00:00,1.553,Library
2025-11-06 17:00:00,2.274,Hostel
2025-11-06 18:00:00,3.562,Hostel
2025-11-06 18:00:00,1.991,Library
2025-11-06 19:00:00,1.064,Hostel
2025-11-06 19:00:00,2.329,Library
2025-11-06 20:00:00,2.633,Hostel
2025-11-06 20:00:00,2.176,Library
2025-11-06 21:00:00,1.54,Library
2025-11-06 21:00:00,1.665,Hostel
2025-11-06 22:00:00,2.83,Hostel
2025-11-06 22:00:00,2.056,Library
2025-11-06 23:00:00,1.976,Library
2025-11-06 23:00:00,2.596,Hostel
2025-11-07 00:00:00,1.91,Hostel
2025-11-07 00:00:00,0.831,Library
2025-11-07 01:00:00,2.387,Library
2025-11-07 01:00:00,3.64,Hostel
2025-11-07 02:00:00,1.238,Hostel
2025-11-07 02:00:00,0.863,Library
2025-11-07 03:00:00,0.655,Library
2025-11-07 03:00:00,3.551,Hostel
2025-11-07 04:00:00,1.032,Library
2025-11-07 04:00:00,3.277,Hostel
2025-11-07 05:00:00,0.851,Library
2025-11-07 05:00:00,2.223,Hostel
2025-11-07 06:00:00,1.978,Hostel
2025-11-07 06:00:00,0.721,Library
2025-11-07 07:00:00,1.411,Library
2025-11-07 07:00:00,2.004,Hostel
2025-11-07 08:00:00,1.309,Library
2025-11-07 08:00:00,1.903,Hostel
2025-11-07 09:00:00,2.497,Library
2025-11-07 09:00:00,1.532,Hostel
2025-11-07 10:00:00,3.015,Hostel
2025-11-07 10:00:00,1.063,Library
2025-11-07 11:00:00,1.572,Library
2025-11-07 11:00:00,3.96,Hostel
2025-11-07 12:00:00,0.676,Library
2025-11-07 12:00:00,1.722,Hostel
2025-11-07 13:00:00,2.347,Library
2025-11-07 13:00:00,2.236,Hostel
2025-11-07 14:00:00,2.244,Library
2025-11-07 14:00:00,3.624,Hostel
2025-11-07 15:00:00,1.713,Library
2025-11-07 15:00:00,1.546,Hostel
2025-11-07 16:00:00,1.931,Library
2025-11-07 16:00:00,3.87,Hostel
2025-11-07 17:00:00,1.956,Library
2025-11-07 17:00:00,1.659,Hostel
2025-11-07 18:00:00,2.984,Hostel
2025-11-07 18:00:00,0.758,Library
2025-11-07 19:00:00,1.901,Library
2025-11-07 19:00:00,3.494,Hostel
2025-11-07 20:00:00,2.058,Library
2025-11-07 20:00:00,2.566,Hostel
2025-11-07 21:00:00,1.899,Library
2025-11-07 21:00:00,2.699,Hostel
2025-11-07 22:00:00,2.319,Library
2025-11-07 22:00:00,2.778,Hostel
2025-11-07 23:00:00,3.204,Hostel
2025-11-07 23:00:00,2.211,Library
